Demand Cluster,Difficulty Cluster,Growth Cluster,ID,Lct Id,Lightcast Skill,Resilience Cluster,Skill Category,Skill Major Category,Skill MajorCategory Code,Skill MajorCategory Code (group),Skill Subcategory Name,Skill Super Category,Value Cluster,Xskill Category Name,Complexity,Complexity Norm,Demand,Demand Norm,Difficulty,Difficulty Norm,Education,Education Norm,Experience,Experience Norm,Growth,Growth Norm,Resilience,Resilience Norm,Stability,Stability Norm,Ubiquity,Ubiquity Norm,Value,Value Norm,SSG_Skill,SSG_ID
High Demand,High Difficulty,Low Growth,832,KS441BW6SPKJGQ31RGW7,text mining,Low Resilience,Data Management and Analytics,Information Technology,15,15,Data Analysis,IT,High Value,Analysis,2.649244727,0.554643889,631.5,0.000994433,0.555257774,0.555257774,2.279608,0.728485278,4.331722,0.382644155,0.728169629,0.057011981,0.29146359,0.29146359,42,0.518518519,31,0.064408662,"$84,000 ",0.396795476,['text analytics and processing'],['235188d35a71d6a9d69ba14059f69254312a45ec696549c2e6feeabbe17b8f04']
Low Demand,High Difficulty,High Growth,833,ESDF754A5FF02AD3E93A,data ethics,Low Resilience,"Law, Regulation, and Compliance","Law, Regulation, and Safety",21,21 & 23,Regulation and Legal Compliance,"Education, Law, and Community",High Value,"Law, Regulation, and Compliance",2.773875976,0.567783506,82.25,0.00012227,0.620921103,0.620921103,2.201271,0.70312759,5.99537,0.591852213,10.25704549,1,0.014806589,0.014806589,0,0,15.33333333,0.029613178,"$135,000 ",0.717247879,['data ethics'],['b18bf9ce6851d7d506550e4bf96946869bcb9e57f3041e1031e50f10cd381631']
High Demand,High Difficulty,Low Growth,834,ES7BC9A4E8143A261631,general data protection regulation (gdpr),Low Resilience,"Law, Regulation, and Compliance","Law, Regulation, and Safety",21,21 & 23,Regulation and Legal Compliance,"Education, Law, and Community",High Value,"Law, Regulation, and Compliance",1.068348934,0.387973293,14470,0.022968826,0.525940375,0.525940375,2.071541,0.661133986,5.493286,0.528713845,0.584754703,0.042819482,0.242084302,0.242084302,17,0.209876543,125.5,0.27429206,"$105,000 ",0.528746466,['data protection management'],['2c80593fcc69877cf045e9df8813b94efe29fed8264cd89492b1ecbee74ccb8e']
High Demand,High Difficulty,Low Growth,835,KS122PZ78FKG9GL2NL9Q,data sharing,High Resilience,Data Management and Analytics,Information Technology,15,15,Data Management,IT,High Value,Information Technology,1.731720363,0.45791118,713,0.001123848,0.514900708,0.514900708,1.856811,0.59162588,5.226502,0.495165064,0.933377062,0.077319534,0.294387206,0.294387206,40,0.49382716,44.75,0.094947252,"$78,000 ",0.359095193,['data sharing'],['480c14d55c2e7f1cec4b7bea72575fe7bb2406c426244f90c1c1d68a0c87bb7f']
High Demand,High Difficulty,High Growth,836,KS1254S77N9X7WW17KG6,it governance,High Resilience,Business,"Business, Finance, and Marketing",13,13,Business Leadership,Business,High Value,Business,2.373708453,0.525594666,2008.5,0.003180995,0.589865076,0.589865076,1.933618,0.616488308,6.278943,0.627512254,1.042754525,0.088143648,0.405220694,0.405220694,58,0.716049383,44.5,0.094392004,"$85,800 ",0.408105561,['it governance'],['689d02973ef70139febfbfd50db2a64e0f39d052c649e063ea1d26c0e6009ae3']
Low Demand,High Difficulty,High Growth,837,KS87P5EQFZSFHNLLXO6P,iso/iec standards,Low Resilience,"Law, Regulation, and Compliance","Law, Regulation, and Safety",21,21 & 23,Quality Assurance and Control,"Education, Law, and Community",Low Value,"Law, Regulation, and Compliance",1.275445128,0.409807019,287,0.000447396,0.460660661,0.460660661,1.870235,0.59597123,4.280507,0.376203735,1.072957165,0.091132534,0.203525476,0.203525476,26,0.320987654,40.75,0.086063298,"$43,200 ",0.140433553,['it standards'],['87b071f0594af6cbcc35a1daa86de1994207009f54a2e077e461b381c191c3bd']
High Demand,High Difficulty,High Growth,838,KS120L969LSXG0WKH1TT,application services,Low Resilience,Software Development and Programming,Information Technology,15,15,Software Development,IT,High Value,Information Technology,2.583793053,0.547743454,1602.25,0.002535904,0.5417968,0.5417968,1.773754,0.564740328,5.367585,0.512906618,1.122033889,0.09598922,0.273860201,0.273860201,36,0.444444444,48.5,0.103275958,"$84,000 ",0.396795476,['applications support and enhancement'],['0a16b9b0b8c012b0d4354b70ff13fd77a6248116e1e9aa4ef7a9495b61fbf9d4']
High Demand,High Difficulty,Low Growth,839,KS1254S5YHG3DT49865F,it asset management,High Resilience,System and IT Infrastructure,Information Technology,15,15,IT Management,IT,Low Value,Information Technology,2.910683552,0.582206847,580.5,0.000913449,0.465582032,0.465582032,1.673804,0.532386511,3.532602,0.282152739,0.967723837,0.080718528,0.31622007,0.31622007,47,0.580246914,25.5,0.052193226,"$45,000 ",0.151743638,['data centre facilities management'],['ab2cbf54b6e96c94cfff2f04d559fe03a47629f04ac7df4ee8dee0528d47b645']
High Demand,High Difficulty,High Growth,840,KS122PL6Y7WHFNZ54RQJ,data migration,High Resilience,Data Management and Analytics,Information Technology,15,15,Data Management,IT,High Value,Information Technology,2.323167666,0.520266254,4581.5,0.007266706,0.52986888,0.52986888,1.878518,0.598652437,5.031857,0.47068795,1.02022998,0.085914594,0.394475634,0.394475634,55,0.679012346,51.5,0.109938923,"$81,000 ",0.377945335,['data migration'],['bd6fc71792fbf1b6e7153f358407248c11de5a6dc048d45ed9090892eb20d22b']
Low Demand,High Difficulty,High Growth,841,BGS536BA8FEBF2B770BA,hardware asset management,Low Resilience,System and IT Infrastructure,Information Technology,15,15,IT Management,IT,Low Value,Information Technology,3.902476981,0.686769591,75,0.000110757,0.556244265,0.556244265,1.689886,0.537592255,4.822581,0.444370949,1.618076516,0.145078144,0.19656775,0.19656775,30,0.37037037,12.25,0.02276513,"$57,000 ",0.227144204,['it asset management'],['db1eacfbd2a1bb50c83dfaf57afb6c96f7e58d8b6b3c39205936fadb65b519e3']
High Demand,High Difficulty,High Growth,842,ES46923913EBF2438BDF,network infrastructure,High Resilience,"Information Technology, Other",Information Technology,15,15,Computer Science,IT,High Value,Information Technology,2.865063592,0.577397229,6609.25,0.010486605,0.509525746,0.509525746,1.669472,0.530984242,4.630337,0.420195767,1.033624078,0.087240088,0.461331496,0.461331496,67,0.827160494,45,0.095502499,"$66,000 ",0.283694628,['infrastructure support'],['d32ff8c53523a528ee59ee6378564deb44035f6cc0b30acf033d8c9717f191cd']
High Demand,High Difficulty,Low Growth,843,KS126ZV6KGL32NDKMT41,network administration,High Resilience,System and IT Infrastructure,Information Technology,15,15,Systems Administration,IT,High Value,Information Technology,3.07766776,0.59981165,2306.5,0.003654195,0.483561994,0.483561994,1.532951,0.486792392,4.184113,0.364081939,0.987883254,0.082713526,0.43739075,0.43739075,66,0.814814815,29,0.059966685,"$63,000 ",0.264844486,['network administration and maintenance'],['af7c0505ad1e1ae9539987ddcf82270f9a15ce2f9a77d3f067fdbbebeed5a3b7']
High Demand,High Difficulty,Low Growth,844,KS1281S6BMZ3DCN1G8M7,problem management,High Resilience,System and IT Infrastructure,Information Technology,15,15,IT Management,IT,High Value,Information Technology,2.608490228,0.550347226,5933,0.009412776,0.544616748,0.544616748,1.687747,0.53689986,5.635544,0.546603158,0.956420046,0.079599893,0.425682577,0.425682577,61,0.75308642,46.25,0.098278734,"$85,800 ",0.408105561,['problem management'],['aaa4fb832d47cb72e87bcd371d21b2b214b110a18c55473811e546ea2ba59453']
High Demand,High Difficulty,High Growth,845,KS440DW606CXSDLH6WPV,security administration,High Resilience,Public Safety and National Security,"Law, Regulation, and Safety",21,21 & 23,Safety and Security,"Education, Law, and Community",High Value,Public Safety and National Security,3.174245171,0.609993608,581.25,0.00091464,0.494974839,0.494974839,1.59317,0.506285283,4.220404,0.368645627,1.006623917,0.084568123,0.344520534,0.344520534,51,0.62962963,28.75,0.059411438,"$69,000 ",0.302544769,['security administration'],['af9b12f46f1deae216eb3ef3ab38ac3d7449a03a4293adcf087f421df9be527f']
High Demand,High Difficulty,High Growth,846,KS440DW78N8604MSMNCC,security awareness,High Resilience,Public Safety and National Security,"Law, Regulation, and Safety",21,21 & 23,Safety and Security,"Education, Law, and Community",High Value,Public Safety and National Security,1.987397825,0.48486673,1448,0.002290968,0.48005944,0.48005944,1.479718,0.469560869,5.151638,0.485750722,1.04322802,0.088190505,0.354792605,0.354792605,51,0.62962963,38,0.07995558,"$78,000 ",0.359095193,['security education and awareness'],['008bba0033401e085ea9831f6f409b0eff90aa0c00e1660a09969afbf5ac6381']
Low Demand,High Difficulty,Low Growth,847,ES9BE78011491F7668AA,threat assessment,Low Resilience,Public Safety and National Security,"Law, Regulation, and Safety",21,21 & 23,Safety and Security,"Education, Law, and Community",High Value,Public Safety and National Security,2.777232866,0.568137416,173.75,0.000267564,0.540049456,0.540049456,1.740637,0.554020354,5.248971,0.497990599,0.99392858,0.083311778,0.242766364,0.242766364,36,0.444444444,20.5,0.041088284,"$102,000 ",0.509896324,['threat analysis and defence'],['c2016266951a49342b4573f3294b5fd2ab4cd33b10c4a8e5bc1c6cb388b06bbf']
High Demand,Low Difficulty,Low Growth,848,KS122BM7899YNC6504SP,content management,High Resilience,Media and Communications,Arts and Design,27,27,Content Development and Management,Communications and Arts,Low Value,Media and Communications,0.953633197,0.375879048,4625.5,0.007336575,0.435653611,0.435653611,1.834656,0.584454307,4.045313,0.346627479,0.970310624,0.08097452,0.420359745,0.420359745,56,0.691358025,69.25,0.149361466,"$48,600 ",0.174363808,"['content management', 'content acquisition management']","['b6bb7687d9d6dce2ffe811d912de71aeff4d224b2b3844fb45251d2920bb9282', 'd6f273f8237ce74e4b22a8a20714e42e502d87651ab78b513b5e28ee8f4d9279']"
High Demand,High Difficulty,High Growth,849,KS1228971QZ4LN6V03GB,conceptual design,High Resilience,Engineering,Engineering and Construction,17,17 & 19,Drafting and Engineering Design,"Science, Engineering, and Manufacturing",Low Value,Engineering,1.905210486,0.476201887,1591.5,0.002518834,0.51530189,0.51530189,1.919202,0.611821848,4.930022,0.457881934,1.204410144,0.104141265,0.374503876,0.374503876,51,0.62962963,55.75,0.119378123,"$57,000 ",0.227144204,"['design concepts generation', 'game concept design']","['adc444fcb0d664a5418f2763869777fb034dd5c632daaddc6e09e418d56b0e26', 'bb99bed6136516eea5fd2349b63cde248f7dbbccad4fb2594cfef84ac50d52be']"
High Demand,High Difficulty,High Growth,850,KS1256V72T3PMM5X9R0X,integrated marketing communications,High Resilience,Marketing and Public Relations,"Business, Finance, and Marketing",13,13,Marketing Strategy and Techniques,Business,High Value,Marketing and Public Relations,0.523280712,0.33050787,3274.5,0.005191298,0.474697767,0.474697767,1.942201,0.619266625,5.06073,0.474318804,1.02056115,0.085947367,0.335783961,0.335783961,49,0.604938272,32,0.06662965,"$60,000 ",0.245994345,['integrated marketing'],['f290b72ad4d7d5e87e03b1a3b5e7478c4dec1a8201125c73074d7a2c76d07d86']
High Demand,High Difficulty,Low Growth,851,KS1242W5ZWLVN23JSK57,marketing mix,High Resilience,Marketing and Public Relations,"Business, Finance, and Marketing",13,13,Marketing Strategy and Techniques,Business,High Value,Marketing and Public Relations,1.015683551,0.38242089,797.75,0.001258424,0.50942585,0.50942585,1.84583,0.588071331,5.724466,0.557785331,0.846561207,0.068728141,0.308381489,0.308381489,46,0.567901235,24,0.048861743,"$72,000 ",0.32139491,['marketing mix management'],['595845e50e4387a5aad5209f87c777764095f6b90761f76695a1fb72458fa6bc']
High Demand,Low Difficulty,High Growth,852,ESFB65AA64C913F6604A,media management,High Resilience,Media and Communications,Arts and Design,27,27,Content Development and Management,Communications and Arts,Low Value,Media and Communications,1.263216669,0.408517798,708.25,0.001116306,0.450037436,0.450037436,1.822274,0.580446253,4.160784,0.361148257,1.133241314,0.09709832,0.413402019,0.413402019,60,0.740740741,40.75,0.086063298,"$48,000 ",0.170593779,['media platforms management'],['70fef1e659c4b331b3fa71cb8153d021b3b3f47b76d42376af4ba20f93aae85f']
High Demand,Low Difficulty,High Growth,853,BGSEE1E1C4671622F63B,sales support,High Resilience,Sales,Sales and Client/Customer Support,41,41,Sales Management,Sales and Support,Low Value,Sales,-0.626082151,0.209332904,20582.75,0.032675367,0.286447769,0.286447769,1.292162,0.408848987,3.206634,0.241161416,1.112664912,0.095062056,0.447762217,0.447762217,59,0.728395062,77.25,0.167129373,"$39,000 ",0.114043355,['technical sales support'],['d2aa2589e526627f9b73156e77767be28b79912c1ed586c4d5ab5e06b4ba6236']
High Demand,High Difficulty,Low Growth,854,ESC32A252A85F151959C,data strategy,Low Resilience,Data Management and Analytics,Information Technology,15,15,Database Architecture and Administration,IT,High Value,Information Technology,1.613322416,0.445428728,2386,0.003780434,0.548124222,0.548124222,2.003066,0.638968627,5.741881,0.559975312,0.951277824,0.079091013,0.241200019,0.241200019,29,0.358024691,58,0.124375347,"$108,000 ",0.547596607,['data strategy'],['fb3814d49b4efaf3e9a381f0993d255a1dcb00f2cd2dfeea3f69e70eacc812c3']
High Demand,High Difficulty,High Growth,855,ESDC58629CA141F03F92,it infrastructure,High Resilience,"Information Technology, Other",Information Technology,15,15,Computer Science,IT,High Value,Information Technology,1.866475317,0.472118118,14073.25,0.022338819,0.497121751,0.497121751,1.747204,0.556146092,4.971525,0.463101044,1.019834177,0.085875425,0.440331503,0.440331503,60,0.740740741,65,0.139922265,"$66,000 ",0.283694628,['infrastructure strategy'],['d9f8bfd3c3d63f7dab6e8383da9ed93c798290cd67c1bd2234b67db037312e6d']
High Demand,High Difficulty,Low Growth,856,KS7G1HN61K3R6K8JX1Y6,security strategies,High Resilience,Public Safety and National Security,"Law, Regulation, and Safety",21,21 & 23,Safety and Security,"Education, Law, and Community",High Value,Public Safety and National Security,2.825143356,0.57318852,1008,0.001592284,0.599173458,0.599173458,1.889281,0.60213642,6.236663,0.622195434,0.978968546,0.081831317,0.384056183,0.384056183,57,0.703703704,31,0.064408662,"$96,000 ",0.472196041,['security strategy'],['83b67c7367f55377adb129b6d2bfe8238c59343c2a3e9673a9182d1812b4868f']
High Demand,Low Difficulty,High Growth,857,KS1289C77QBFVS06FR9G,quality policy,High Resilience,"Law, Regulation, and Compliance","Law, Regulation, and Safety",21,21 & 23,Quality Assurance and Control,"Education, Law, and Community",Low Value,"Law, Regulation, and Compliance",0.40442909,0.317977588,1096.75,0.001733212,0.325390722,0.325390722,0.895723,0.280521675,4.29219,0.377672903,1.022535848,0.086142785,0.480634901,0.480634901,65,0.802469136,73.5,0.158800666,"$43,200 ",0.140433553,['quality standards'],['91bdf43f0912113bf67c6c0a75398789855f766920acdfc3905e5d8822b147e9']
Low Demand,Low Difficulty,High Growth,858,ES3C82C4833E29443ACA,copyright laws,Low Resilience,"Law, Regulation, and Compliance","Law, Regulation, and Safety",21,21 & 23,Litigation and Civil Justice,"Education, Law, and Community",Low Value,"Law, Regulation, and Compliance",1.645473925,0.448818395,37,5.04E-05,0.429847792,0.429847792,1.872579,0.596729982,3.229167,0.243994999,1.798320768,0.162915313,0.121383182,0.121383182,18,0.222222222,11.25,0.020544142,"$51,000 ",0.189443921,['copyright protection'],['6a528c95102609e6642ddbbbabe0f258a7f60c506269e93aa87edd50a6fb671b']
Low Demand,High Difficulty,High Growth,859,KS120556NRS6S7CGFFJC,acquisition due diligence,Low Resilience,Finance,"Business, Finance, and Marketing",13,13,Mergers and Acquisitions,Business,High Value,Finance,2.125307765,0.499406291,67,9.81E-05,0.582613786,0.582613786,1.945213,0.62024161,6.28436,0.628193456,1.261477184,0.109788682,0.158697843,0.158697843,24,0.296296296,11.5,0.021099389,"$81,000 ",0.377945335,['intellectual property audit and due diligence'],['c251059cd6eec1f14bdaedf90f0c9fbe40603e50b35de38f22af6ad7bf0400de']
High Demand,High Difficulty,Low Growth,860,KS1257G62V8N1RFHMNLL,intellectual property,Low Resilience,"Law, Regulation, and Compliance","Law, Regulation, and Safety",21,21 & 23,Property Law,"Education, Law, and Community",High Value,"Law, Regulation, and Compliance",1.062642542,0.38737168,1223.25,0.001934083,0.530878713,0.530878713,2.416105,0.77266936,4.728938,0.432595099,0.936599531,0.077638433,0.29009261,0.29009261,38,0.469135802,52,0.111049417,"$78,900 ",0.364750236,"['intellectual property commercialisation and exploitation', 'intellectual property enforcement', 'intellectual property intelligence', 'intellectual property licencing', 'intellectual property in business', 'intellectual property in research and development']","['affd345780506fbab2b88362e621c142d2c45af3b1dabde066d45bb65fa3938d', '26c71cd7a26ec6e9cdcc219390d69d8a23d7009fb337eea2e719b691b02d44ef', '092063462716a52fe33e16c8e35e77e5cf0ab2c0d46004369d9964aabc06c830', '577e7a248c51b557aa991fb68f6eb16c97321280832ad1bc71b074e913b4c008', 'c8b16424f5b7ac911751539ca995c09c2c0d4e55c03a92e6d88cf907b29a6b85', '32697a81857dfc7d9793b4d3edf4a95adcd7b64573781bb8891ea7e340c30b3c']"
Low Demand,High Difficulty,High Growth,861,KS1257H6HX4K4Y7BH6SY,intellectual property portfolios,Low Resilience,"Law, Regulation, and Compliance","Law, Regulation, and Safety",21,21 & 23,Property Law,"Education, Law, and Community",High Value,"Law, Regulation, and Compliance",1.987980042,0.484928112,59,8.54E-05,0.575015255,0.575015255,2.441325,0.780833074,4.941176,0.459284578,1.205058173,0.104205395,0.138791207,0.138791207,21,0.259259259,10.25,0.018323154,"$84,000 ",0.396795476,['intellectual property portfolio management'],['1f51d7ba274166deab4a364887ffb289cb857ee6654228c75678bc5d6fad8a0c']
Low Demand,High Difficulty,High Growth,862,ES1167C227315B8E1524,intellectual property strategy,Low Resilience,"Law, Regulation, and Compliance","Law, Regulation, and Safety",21,21 & 23,Property Law,"Education, Law, and Community",High Value,"Law, Regulation, and Compliance",1.588425898,0.442803939,86.25,0.000128621,0.604928952,0.604928952,2.50837,0.802535542,5.817204,0.569447375,1.146650583,0.098425315,0.077275313,0.077275313,10,0.12345679,16,0.031093837,"$67,350 ",0.292177191,['intellectual property strategy'],['b976e6b39bef8505798aa5924c9b8b0213a0e0d48d9525d7054a66d02b46ecc8']
Low Demand,High Difficulty,Low Growth,863,ESCC184F814AF7ED386C,patent drafting,Low Resilience,"Law, Regulation, and Compliance","Law, Regulation, and Safety",21,21 & 23,Property Law,"Education, Law, and Community",High Value,"Law, Regulation, and Compliance",2.182261648,0.505410822,110.5,0.000167128,0.534511501,0.534511501,2.634452,0.843348288,3.314894,0.254775392,0.882354513,0.072270286,0.167646918,0.167646918,25,0.308641975,14,0.02665186,"$78,000 ",0.359095193,"['patent claim and specification drafting', 'patent practice']","['8792ff1f3a459b783a721c41739db70d0d56ba4aa5c13acd4070c764bb7e5e92', '8fc83da126564e44269d61aa9fd600ef2512e2229bcedb314ea095d2037f3b06']"
Low Demand,Low Difficulty,High Growth,864,KS127LH6588TSY3Q00X3,patent infringement,Low Resilience,"Law, Regulation, and Compliance","Law, Regulation, and Safety",21,21 & 23,Property Law,"Education, Law, and Community",High Value,"Law, Regulation, and Compliance",0.703499292,0.349507945,51,7.26E-05,0.423661117,0.423661117,2.326436,0.743643503,2.70303,0.177831904,1.448618545,0.128308397,0.196355248,0.196355248,31,0.382716049,6.5,0.009994448,"$72,000 ",0.32139491,['patent office action and infringements'],['d33089b950a761abef357b9c65d3e058813d492161f4dee800bea5d7f59eb71e']
Low Demand,High Difficulty,High Growth,865,KS1225J6XX2482K4PWDP,community design,Low Resilience,"Economics, Policy, and Social Studies",Social Sciences and Services,21,21 & 23,Urban and Regional Planning,"Education, Law, and Community",High Value,"Economics, Policy, and Social Studies",2.045808,0.491024795,35.25,4.76E-05,0.515740275,0.515740275,1.797312,0.572366053,5.136364,0.483829976,1.131660164,0.096941847,0.111601237,0.111601237,17,0.209876543,8,0.01332593,"$102,000 ",0.509896324,['registered design application'],['f8a9d744e9e8dff414ba17f3e4f2395a53863f908a157c7b666aa2d644d5190e']
High Demand,High Difficulty,Low Growth,866,KS127LF67KVM0BHLK1CB,patents,High Resilience,"Law, Regulation, and Compliance","Law, Regulation, and Safety",21,21 & 23,Property Law,"Education, Law, and Community",High Value,"Law, Regulation, and Compliance",1.025763583,0.383483607,1464.75,0.002317565,0.470149277,0.470149277,2.079917,0.663845297,4.176455,0.363118926,0.938750777,0.077851322,0.425764836,0.425764836,58,0.716049383,63,0.135480289,"$66,000 ",0.283694628,['technology assessment'],['835101cb32aab147beefc4096403fca10b181e46a1e1e164ef8196bc5c8cefe2']
Low Demand,High Difficulty,High Growth,867,ES7382473247E88673B9,technology entrepreneurship,Low Resilience,Business,"Business, Finance, and Marketing",13,13,Business Leadership,Business,High Value,Business,1.517392471,0.435315031,282.75,0.000440647,0.460382738,0.460382738,1.947162,0.620872501,3.873016,0.324960683,1.150134627,0.0987701,0.183193836,0.183193836,25,0.308641975,28,0.057745697,"$60,300 ",0.247879359,['technology incubation'],['23d6d31b8882bb10c0616020e63e3285e18ca12d1bea4be7897e329d56c604d5']
High Demand,High Difficulty,High Growth,868,KS4418T608N2ST3C7S1B,technology transfer,High Resilience,Business,"Business, Finance, and Marketing",13,13,Business Solutions,Business,High Value,Business,1.323056215,0.414826558,1642.75,0.002600214,0.497160408,0.497160408,2.145016,0.684917845,4.404028,0.391736822,1.070151335,0.090854866,0.453019927,0.453019927,63,0.777777778,59.75,0.128262077,"$63,600 ",0.268614515,['technology transfer'],['e887dd971aa2ceb99aac12071705b032226449f7464454a78a9dcff06a21664f']
Low Demand,Low Difficulty,High Growth,869,KS441GL694BVNXYQJCTL,trademarks,Low Resilience,"Law, Regulation, and Compliance","Law, Regulation, and Safety",21,21 & 23,Property Law,"Education, Law, and Community",Low Value,"Law, Regulation, and Compliance",0.574522844,0.335910223,479.5,0.00075307,0.453196781,0.453196781,2.102729,0.671229542,4.091619,0.352450579,1.106478445,0.094449837,0.21850001,0.21850001,30,0.37037037,32,0.06662965,"$54,000 ",0.208294062,['trade mark application'],['0f05478acd71355e06de18bb5025fc972aa3de7e3139fd7b64edab0455bcd723']
Low Demand,Low Difficulty,High Growth,870,BGS399E77F654D19BF75,chainsaws,Low Resilience,"Maintenance, Repair, and Facility Services","Maintenance, Repair, and Facility Services",47,47,Power Tools,Trade Skills,Low Value,"Maintenance, Repair, and Facility Services",-0.867460531,0.183884877,34,4.57E-05,0.156761038,0.156761038,0.215973,0.060486586,3.085366,0.22591165,1.2879011,0.112403622,0.09786744,0.09786744,15,0.185185185,6.75,0.010549695,"$39,000 ",0.114043355,['chainsaw operations'],['b290549bcac4d263125719952466ae49471a9bc73f6bc5560eaffcc6bb229a49']
Low Demand,Low Difficulty,High Growth,871,KS120M76NLH1DB5PSG4B,arboriculture,Low Resilience,"Agriculture, Horticulture, and Landscaping","Agriculture, Horticulture, and Landscaping",45,45,Landscaping and Horticulture,Trade Skills,Low Value,"Agriculture, Horticulture, and Landscaping",-0.040627419,0.271056194,307.75,0.000480345,0.288538475,0.288538475,1.090528,0.343580057,3.284706,0.250979173,1.058557878,0.089707565,0.162944455,0.162944455,21,0.259259259,32,0.06662965,"$40,800 ",0.12535344,"['tree assessments', 'tree climbing and aerial rescues', 'tree conservation and protection', 'tree health management', 'tree pruning']","['179b9c50e30af1625b91043bcc2383ba590deede4df6e2c1d3f55930f09da1b2', '037817874f25be11f9713804a7f7c027079bc5cd2776377a7f0111c2a17cf33f', 'e935e9e7eeeadeb2dc7c362b714ba42f38e70592fc2650655011257984029c60', 'd8f2f03892973e1a172b8feb5c58e6e6d9b93f8ee9c627d493fcbb02ef06e4d1', '5dca955e614db3a5ba91b1e804d3ddc6477c8adf5f16c565382a4455cc919989']"
Low Demand,Low Difficulty,High Growth,872,KS1285Z663564K2GB93Y,pruning,Low Resilience,"Maintenance, Repair, and Facility Services","Maintenance, Repair, and Facility Services",47,47,Groundskeeping and Yard Care,Trade Skills,Low Value,"Maintenance, Repair, and Facility Services",-0.243994861,0.249615582,562.25,0.00088447,0.182997748,0.182997748,0.315673,0.092759478,2.931942,0.206618183,1.096779759,0.093490044,0.214973163,0.214973163,27,0.333333333,45.5,0.096612993,"$32,400 ",0.072573044,"['tree removal', 'plant pruning']","['bf953d43433164d9d423b99535de2c654ffde6847d602e59dfd2a754fff824d9', '94a4af0815003cbddd06f3397379c2a6116ebee2bdc626f975e6f8737f70c825']"
Low Demand,Low Difficulty,High Growth,873,KS4400J6VPDDLT3B7ND1,transplanting,Low Resilience,"Agriculture, Horticulture, and Landscaping","Agriculture, Horticulture, and Landscaping",45,45,Agriculture and Crop Farming,Trade Skills,Low Value,"Agriculture, Horticulture, and Landscaping",-0.175936656,0.256790819,114.5,0.00017348,0.191195265,0.191195265,0.621388,0.19171943,2.283505,0.125075546,1.023596346,0.086247733,0.119309574,0.119309574,16,0.197530864,20.5,0.041088284,"$23,400 ",0.01602262,['tree transplantation'],['28305ae6556a9536f21eb07d34610470626dee711a8c0a967766ca75a058d874']
Low Demand,Low Difficulty,High Growth,874,ESE84F43ACE4F0C71B6A,merchandise planning,Low Resilience,Sales,Sales and Client/Customer Support,41,41,Merchandising,Sales and Support,Low Value,Sales,0.9300198,0.373389537,133.25,0.000203253,0.39061688,0.39061688,1.463933,0.464451264,3.944976,0.33400984,1.226414926,0.106318882,0.166471302,0.166471302,24,0.296296296,18.5,0.036646308,"$45,000 ",0.151743638,['merchandise buying'],['6044bfecabe32c31eb96f42f3e4c2b27a32f64c478935416c0a77e1e6f979755']
Low Demand,High Difficulty,Low Growth,875,KS4424Y60BTSZQ2DS18T,workflow management systems,Low Resilience,Business,"Business, Finance, and Marketing",13,13,Process Improvement and Optimization,Business,High Value,Business,2.048231574,0.491280307,406.25,0.000636755,0.471982696,0.471982696,1.474417,0.467844935,4.9216,0.456822846,0.91520349,0.075521057,0.192355413,0.192355413,25,0.308641975,36.25,0.076068851,"$72,000 ",0.32139491,"['workflow digitalisation', 'manufacturing workflow management']","['7d5d5b852a83629fed9585d39e9bc8ad1e85f22944c69eb5ae446d4bcc494d42', '1fc17ae7be76cacfc9dd0f30a74e206d30af22a77af85747464aa252d3f69d6f']"
Low Demand,Low Difficulty,High Growth,876,KS125Q55WG994RHWRSG4,landscape design,Low Resilience,Architecture and Construction,Engineering and Construction,17,17 & 19,Architectural Design,"Science, Engineering, and Manufacturing",Low Value,Architecture and Construction,0.939231672,0.374360725,419,0.000657001,0.378306891,0.378306891,1.385047,0.438915864,3.846642,0.321644084,1.154743749,0.099226224,0.189579178,0.189579178,25,0.308641975,33.75,0.07051638,"$39,900 ",0.119698398,"['sustainable landscape design', 'microclimate in landscape design']","['8837622c2b44dfbeca7fdc45129b1a8736b1aff827735e54298dec4f745af2e3', '7f73bdf9a9b6c4a886ab70ea25cb7abd55acefe1d1bb9c2cfb7dbfdbfc50bb5a']"
High Demand,Low Difficulty,High Growth,877,KS1239V5ZB04BPP8DY79,ecology,Low Resilience,Environment,"Energy, Utilities, and Environment",17,17 & 19,Ecology,"Science, Engineering, and Manufacturing",Low Value,Environment,-0.172326241,0.257171458,855.25,0.00134973,0.402981646,0.402981646,2.053589,0.655322923,3.6463,0.296450557,1.424242187,0.125896085,0.237885674,0.237885674,25,0.308641975,77.25,0.167129373,"$45,000 ",0.151743638,['ecology in landscapes'],['3ca8644bf82b01132db5cc2b305028db2d88e4e712441c0e9d5f9f2d64b30ff2']
Low Demand,High Difficulty,Low Growth,878,BGS11120D604B06238F9,rangeland management,Low Resilience,Environment,"Energy, Utilities, and Environment",17,17 & 19,Environment and Resource Management,"Science, Engineering, and Manufacturing",High Value,Environment,1.442982558,0.427470146,65.75,9.61E-05,0.496580326,0.496580326,1.489953,0.472873938,5.975845,0.589396893,0.938818697,0.077858044,0.15308025,0.15308025,23,0.283950617,12,0.022209883,"$88,200 ",0.423185674,['environment management in landscape operations'],['e6c014bea103608ea9a91004aa648c291f5747e24bb7f8e375c5060bc29d24a0']
